Date,Close/Last,Volume,Open,High,Low
07/10/2025,$1250.59,4236494,$1285.50,$1289.5999,$1246.01
07/09/2025,$1288.28,2384477,$1273.99,$1288.29,$1266.24
07/08/2025,$1275.31,3292525,$1290.90,$1293.25,$1260.00
07/07/2025,$1289.62,2273737,$1295.00,$1295.00,$1276.02
07/03/2025,$1297.18,2006224,$1292.00,$1302.26,$1279.76
07/02/2025,$1284.86,3048801,$1296.96,$1299.9499,$1271.59
07/01/2025,$1293.60,4993567,$1338.23,$1338.7743,$1282.22
06/30/2025,$1339.13,3282908,$1331.00,$1341.15,$1321.21
06/27/2025,$1323.12,4070857,$1306.88,$1331.345,$1301.00
06/26/2025,$1306.67,2605870,$1280.00,$1307.34,$1280.00
06/25/2025,$1275.25,2146510,$1286.84,$1297.9999,$1273.81
06/24/2025,$1279.11,2663307,$1260.545,$1282.571,$1255.00
06/23/2025,$1253.54,2667318,$1238.025,$1254.84,$1215.01
06/20/2025,$1231.41,5348193,$1234.45,$1248.4999,$1224.349
06/18/2025,$1222.29,2281047,$1229.99,$1241.9999,$1220.50
06/17/2025,$1220.67,1892126,$1219.95,$1232.3569,$1216.09
06/16/2025,$1225.35,2112797,$1212.20,$1226.25,$1212.20
06/13/2025,$1212.15,2210253,$1206.59,$1220.62,$1201.89
06/12/2025,$1215.03,2084602,$1222.59,$1230.00,$1211.965
06/11/2025,$1219.88,2382280,$1202.60,$1228.29,$1196.0101
